COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
U.S. - NEW YORK,3.34,3.22,2.97,2.61,2.34,2.31,1.96,2.19,1.99,1.78,1.69,1.59,1.50,1.48,1.19,1.04,0.97,0.96,0.77,0.69,0.61,0.54,0.46,0.44,0.32
U.S. - NORTH CAROLINA,2.93,2.65,2.47,2.38,2.73,2.65,2.73,3.78,3.18,2.83,2.69,2.49,2.50,2.41,1.76,1.86,1.29,1.44,1.24,1.18,0.96,0.87,0.65,0.63,0.43
U.S. - NORTH DAKOTA,6.83,4.78,5.67,5.65,5.17,4.09,3.75,6.53,5.79,4.01,3.57,3.61,2.70,2.64,2.12,1.87,1.42,1.23,1.07,1.20,0.99,1.14,0.75,0.70,0.32
U.S. - OHIO,7.38,7.03,6.42,5.91,5.85,5.61,5.06,5.61,5.12,4.79,4.39,3.96,3.91,3.78,3.06,2.75,2.48,2.37,2.14,1.93,1.70,1.67,2.57,6.00,8.32
U.S. - OKLAHOMA,2.69,2.68,2.57,2.36,2.22,2.17,1.69,2.07,1.57,1.48,1.40,1.28,1.14,1.10,0.97,1.04,0.88,0.81,0.69,0.53,0.40,0.30,0.27,0.23,0.16
U.S. - OREGON,3.08,2.57,2.33,1.95,1.76,1.40,1.09,1.55,1.52,1.43,1.38,1.38,1.21,1.14,0.93,0.92,0.86,0.80,0.70,0.65,0.59,0.49,0.47,0.42,0.37
U.S. - PENNSYLVANIA,6.62,6.60,6.25,5.68,5.01,4.54,3.70,4.01,3.33,2.88,2.74,2.46,2.30,2.14,1.80,1.51,1.38,1.23,1.05,0.96,0.86,0.82,0.70,0.65,0.44
U.S. - RHODE ISLAND,1.90,1.52,1.32,1.14,1.30,0.65,0.71,0.82,0.81,0.65,0.65,0.60,0.67,0.60,0.43,0.43,0.40,0.50,0.44,0.47,0.43,0.34,0.11,0.13,0.07
U.S. - SOUTH CAROLINA,3.41,2.97,2.89,2.71,2.50,2.44,1.90,2.33,2.03,1.82,1.67,1.31,1.23,1.06,0.82,0.71,0.65,0.64,0.58,0.48,0.46,0.42,0.35,0.30,0.24
U.S. - SOUTH DAKOTA,3.52,3.60,2.90,2.79,2.72,2.49,2.17,2.32,2.41,2.13,2.11,1.75,1.55,1.53,1.39,1.35,1.10,0.98,0.88,0.97,0.83,0.99,0.60,0.54,0.50
U.S. - TENNESSEE,3.37,3.28,3.16,2.94,2.78,2.69,2.02,2.32,2.17,1.94,1.73,1.53,1.45,1.38,1.18,1.21,1.22,1.12,0.98,0.99,0.88,0.81,0.67,0.60,0.56
U.S. - TEXAS,7.11,6.83,6.68,6.04,5.61,5.46,4.76,5.43,4.75,4.25,4.19,3.86,3.64,3.44,2.75,2.62,2.34,2.30,1.97,1.99,1.44,1.37,1.14,1.04,0.80
U.S. - UTAH,4.32,4.17,3.94,3.68,3.22,2.55,1.77,2.39,1.98,1.49,1.44,1.44,1.13,1.08,0.85,0.84,0.57,0.48,0.42,0.44,0.40,0.30,0.23,0.20,0.18
U.S. - VERMONT,4.67,4.15,4.00,3.49,3.45,3.12,2.30,3.59,1.95,1.60,1.28,1.34,1.14,0.85,0.74,0.65,0.60,0.54,0.58,0.40,0.37,0.38,0.32,0.32,0.29
U.S. - VIRGINIA,19.19,18.05,16.38,18.28,10.95,9.21,9.34,8.05,7.03,7.12,6.60,4.16,3.24,3.87,2.07,1.71,1.45,0.96,0.87,0.92,0.80,0.84,0.55,0.53,0.43
U.S. - WASHINGTON,7.27,6.66,6.41,5.56,5.50,4.97,4.15,4.84,4.29,4.09,3.87,3.44,3.40,3.30,2.75,2.64,2.39,2.18,1.92,1.68,1.51,1.47,1.23,1.12,0.68
U.S. - WEST VIRGINIA,4.95,4.23,2.80,2.65,2.74,2.67,1.80,2.42,2.04,2.09,1.90,1.85,1.44,1.38,1.05,1.01,0.92,0.91,0.85,1.20,1.11,0.84,0.57,0.77,0.57
U.S. - WISCONSIN,3.78,3.46,2.85,2.62,2.48,2.28,1.72,2.13,1.85,1.69,1.58,1.54,1.36,1.28,1.12,1.02,0.87,0.82,0.79,0.70,0.60,0.58,0.54,0.53,0.40
U.S. - WYOMING,2.75,2.58,2.23,2.06,2.02,1.71,1.53,2.20,2.03,2.27,1.87,1.48,1.56,1.21,1.01,0.72,0.87,0.49,0.35,0.44,0.42,0.39,0.36,0.30,0.26
UKRAINE,22.93,27.48,24.16,21.97,20.18,19.19,13.25,13.79,12.82,10.57,9.83,10.18,9.16,9.45,9.02,8.84,9.68,10.12,10.13,10.78,10.06,11.26,10.81,8.86,9.63
UNITED ARAB EMIRATES,16.32,14.57,16.27,11.05,7.33,11.20,11.59,15.84,17.80,17.49,7.35,7.30,4.48,7.29,1.67,1.43,0.75,0.50,0.43,0.31,0.31,0.27,0.21,0.29,0.28
UNITED KINGDOM,2.00,1.49,1.61,1.88,1.96,1.53,1.18,1.35,1.22,1.20,1.15,1.08,0.96,0.72,0.63,0.56,0.52,0.45,0.35,0.32,0.32,0.27,0.41,0.62,0.87
UNITED STATES,6.48,6.07,5.71,5.40,4.69,4.33,3.70,4.11,3.59,3.26,3.07,2.76,2.60,2.59,1.99,1.83,1.72,1.60,1.38,1.34,1.12,1.05,0.92,1.13,1.40
URUGUAY,18.04,16.09,12.57,13.17,11.28,9.15,11.05,25.08,20.53,11.49,14.94,18.29,10.79,8.73,7.24,6.63,6.87,1.31,1.41,0.69,0.54,0.58,0.43,0.25,0.29
VENEZUELA,6.53,6.28,6.25,7.21,6.74,6.08,5.71,11.19,10.88,11.34,12.90,14.53,11.88,10.22,9.32,9.35,7.96,4.16,6.52,4.88,3.12,2.37,2.53,2.07,1.46
VIETNAM,17.52,14.60,9.92,12.76,11.91,18.29,5.27,2.68,2.84,4.57,0.74,0.82,3.24,1.47,3.50,0.95,12.30,11.11,9.65,7.39,5.07,5.16,2.70,1.13,2.08
